architecture,year,hours,field,heldout_nrmse,full_nrmse,heldout_minus_full,full_gain_pct,delta_ci95_low,delta_ci95_median,delta_ci95_high,bootstrap_draws_full_not_better,bootstrap_tail_probability_full_not_better,bootstrap_probability_at_floor,comparability
WeatherBridge,2020,held_out_hours,T1000,0.01914962943615965,0.017409419610740856,0.0017402098254187953,9.087433421206633,0.001728137419552873,0.0017401066179877286,0.0017513262422492093,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,T925,0.01992188011264599,0.018303767721190453,0.001618112391455536,8.122287566766314,0.0016072657676617838,0.0016181206827700668,0.0016287151157501115,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,T850,0.021788055435791553,0.020372585245091487,0.0014154701907000654,6.496542084131346,0.0014056324888773609,0.0014153966729351028,0.0014246534507932377,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,T700,0.018817442892574456,0.018159539368633286,0.0006579035239411696,3.496242968276974,0.0006533160344196589,0.0006579592365447695,0.0006626380796915541,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,U1000,0.0831792935851749,0.0765041666914178,0.0066751268937570996,8.024986274885618,0.0066389961544546395,0.006675444927362106,0.006711296420337909,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,U925,0.07744236526504386,0.07052502387154588,0.006917341393497978,8.932244476035322,0.00688587146373114,0.006917194460225304,0.0069489898114769195,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,U850,0.07730602807823525,0.0717308800291998,0.005575148049035444,7.211789542974945,0.0055525623272400775,0.005575213151105429,0.005598262020014861,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,U700,0.07484736343808424,0.06997677291253246,0.004870590525551777,6.507364190030369,0.004844311853343076,0.0048707285465803135,0.004895640361520607,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,V1000,0.14349380349503316,0.13049046426688193,0.013003339228151223,9.06195174386141,0.012927646026231712,0.013004047514202532,0.013079726926313215,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,V925,0.17118752237801738,0.15350031415816207,0.01768720821985531,10.332066247677973,0.01757675805802941,0.01768737397757103,0.017800746364172403,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
