architecture,year,field,hour,hour_split,heldout_nrmse,full_nrmse,full_gain_pct,heldout_physical_rmse,full_physical_rmse,physical_unit,heldout_acc,full_acc,full_acc_delta,comparability,heldout_steps,full_steps
SwinV2,2021,Q700,5,trained,0.0755202281667107,0.07562721986534195,-0.14167290172252514,0.0002207578758028943,0.00022107062979484504,kg kg-1,0.9909518436126601,0.9909290863283593,-2.2757284300789493e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Z1000,5,trained,0.023986399394751664,0.023997826808265336,-0.04764122086690904,21.90680156865337,21.917238379525962,m2 s-2,0.9992672213078351,0.9992663213301027,-8.999777323381863e-07,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Z925,5,trained,0.01933554681371951,0.01933533058676411,0.001118287253434664,21.489751430213264,21.48951108754847,m2 s-2,0.99926597801145,0.9992658649605938,-1.1305085623192213e-07,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Z850,5,trained,0.01520662260672249,0.01525747587097483,-0.33441524503843134,21.183278231652615,21.254118334868917,m2 s-2,0.9992952563581351,0.9992904032241798,-4.853133955262656e-06,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Z700,5,trained,0.009951770921259623,0.010004947603768119,-0.5343439165676198,21.112062415155904,21.224873434484397,m2 s-2,0.9994420310592617,0.9994359780884526,-6.052970809022895e-06,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,t2m,5,trained,0.017625487313865755,0.017828694421147852,-1.1529162494261151,0.3454595581076827,0.3494424178564898,K,0.9919886512607343,0.9918022400536524,-0.00018641120708196013,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,u10,5,trained,0.06984335943104313,0.06967338170242539,0.24336992092363138,0.3450261983100792,0.3441865077467685,m s-1,0.9961625469205397,0.9961801242515125,1.7577330972740057e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,v10,5,trained,0.11805380197817884,0.11818728317039758,-0.11306810113866943,0.3281895656146367,0.3285606437713848,m s-1,0.9966392278936795,0.9966301198233385,-9.108070341046215e-06,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,mslp,5,trained,0.024091226317812634,0.024079116060464704,0.050268330836177696,26.878579720373274,26.865068245658012,Pa,0.9993136600974176,0.9993141492336681,4.891362505032859e-07,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
S-DYff,2020,T1000,1,trained,0.014572990366241453,0.01472828179313886,-1.065611264364391,0.24700813851685893,0.24964028645418546,K,0.996176176242891,0.9960940119897805,-8.216425311047271e-05,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,T925,1,trained,0.016503106429796393,0.016608812044397344,-0.6405194988629496,0.26378474339962027,0.2654743365810912,K,0.9966197300581193,0.996576291971803,-4.343808631634971e-05,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,T850,1,trained,0.01913520209848099,0.019212314200076363,-0.4029855613675128,0.293792113326588,0.2949760540395285,K,0.9964239458347922,0.996395409100991,-2.8536733801209913e-05,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,T700,1,trained,0.016847429182289902,0.016850639092922032,-0.019052821634671414,0.2411699611690488,0.2412159103968298,K,0.9972063895827059,0.9972055586532192,-8.309294866615247e-07,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,U1000,1,trained,0.0833229594007722,0.08364732860454453,-0.3892915063328045,0.4597895703303699,0.46157949207400945,m s-1,0.9945187002634484,0.9944767828406559,-4.191742279247013e-05,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,U925,1,trained,0.08063475958223376,0.08067068479391402,-0.04455300898321044,0.5773955924114761,0.5776528367715579,m s-1,0.9947542227926657,0.9947495550919163,-4.667700749361181e-06,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,U850,1,trained,0.07861688789823962,0.07881596144549854,-0.2532198266568427,0.5924727347115333,0.5939729940271138,m s-1,0.9947448952636256,0.9947181812967852,-2.6713966840397063e-05,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,U700,1,trained,0.07564987491249686,0.07585312702365228,-0.268674748491677,0.6453380735881677,0.6470719333320784,m s-1,0.9950425525185077,0.9950154478733539,-2.7104645153763762e-05,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,V1000,1,trained,0.15649686205765223,0.15958515178937174,-1.9733876392881349,0.4811176398899105,0.4906119562797703,m s-1,0.9944632043775155,0.994246832181576,-0.00021637219593950707,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,V925,1,trained,0.19938405341914772,0.20407048716965293,-2.3504556508605643,0.6239577844977419,0.6386236355071517,m s-1,0.9940395379435797,0.9937695750905426,-0.00026996285303704237,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,V850,1,trained,0.249879237978722,0.2533632610857607,-1.394282748427207,0.6267864066638651,0.635525582458006,m s-1,0.9936765003921628,0.9935085388052386,-0.0001679615869242257,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,V700,1,trained,0.3054333046086252,0.305587505320096,-0.0504858864911125,0.6832384952266587,0.6835834356900068,m s-1,0.9939401851610963,0.9939344149639979,-5.770197098353691e-06,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,Q1000,1,trained,0.022345737371623656,0.02252135026946088,-0.7858899212707572,0.00016155341942210565,0.00016282305125734595,kg kg-1,0.9944040067990141,0.9943208099254106,-8.319687360347494e-05,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,Q925,1,trained,0.040904363452848744,0.04101185387882546,-0.2627847420254328,0.0002518891025523648,0.0002525510289171912,kg kg-1,0.986775231500839,0.9867136323224293,-6.159917840975471e-05,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,Q850,1,trained,0.061742659981452175,0.062076712481778026,-0.5410400206699917,0.0002994760606923499,0.00030109634571613377,kg kg-1,0.9877312749193162,0.9876073894857403,-0.00012388543357588766,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,Q700,1,trained,0.07905367929132266,0.07921257597685111,-0.20099846958784937,0.00023108672668386578,0.0002315512073744625,kg kg-1,0.9902929248576211,0.9902594609858683,-3.346387175284793e-05,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,Z1000,1,trained,0.024345649740751995,0.024387802464340868,-0.17314273407258418,22.234905191590297,22.273403365580112,m2 s-2,0.9992483858765955,0.9992457792438485,-2.6066327469820294e-06,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,Z925,1,trained,0.019377682653025852,0.019397997932227518,-0.10483853805136455,21.53658173080629,21.55916031350376,m2 s-2,0.9992652225998313,0.999263715475848,-1.50712398327979e-06,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
S-DYff,2020,Z850,1,trained,0.015028540389171723,0.015022114522957888,0.04275775323107295,20.935204379416923,20.92625297750771,m2 s-2,0.9993119849595375,0.9993126746163947,6.896568571779227e-07,optimizer_steps_matched_seed_not_checkpoint_verified,35032,35032
