architecture,year,field,hours,heldout_nrmse,full_nrmse,full_gain_pct,heldout_acc,full_acc,full_acc_delta,comparability
WeatherDCAE-14M,2020,Q700,held_out,0.11356204217121563,0.09932058193693113,12.540686977795694,0.979890330400816,0.9846365505016931,0.004746220100877108,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Z1000,trained,0.020674812335933723,0.019851665473867023,3.981399437595061,0.9994523373735483,0.9994961271494723,4.378977592400801e-05,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Z1000,held_out,0.025872672878579035,0.02208355700616446,14.645243227079664,0.999152463322676,0.9993825773628867,0.0002301140402106716,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Z925,trained,0.016382366667944206,0.015749088949963436,3.865605811521242,0.9994713351759277,0.999512292850548,4.095767462031219e-05,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Z925,held_out,0.0203935535906467,0.017335280458358977,14.996273791588578,0.9991869861700946,0.9994125817560864,0.00022559558599177798,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Z850,trained,0.012868129865047243,0.012353592546474187,3.9985399896425955,0.9994928753192478,0.9995334712927156,4.05959734678385e-05,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Z850,held_out,0.01587820703673084,0.013502285852523081,14.963409777385898,0.9992327032722079,0.9994450542146647,0.00021235094245675157,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Z700,trained,0.008540416184103254,0.008208375806692302,3.8878711558459753,0.9995819606711397,0.9996146694832034,3.270881206374199e-05,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Z700,held_out,0.010427373428960792,0.008945580574850584,14.210605040716246,0.9993812634540223,0.9995448076640512,0.00016354421002884312,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,t2m,trained,0.019826006558373372,0.01931889214708318,2.5578242890069873,0.9891791408599415,0.9897767178156848,0.0005975769557432509,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,t2m,held_out,0.030575451814149855,0.024098177294528463,21.184558641988104,0.9758349310260754,0.9850552500008629,0.009220318974787478,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,u10,trained,0.06983671589287392,0.0657971258372536,5.784335652061382,0.9958517267422112,0.996326483565197,0.00047475682298581123,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,u10,held_out,0.0893760236916628,0.08104814205531792,9.317802798069343,0.9936249164007173,0.9947611526284208,0.0011362362277035354,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,v10,trained,0.11711956611207558,0.10996197122713504,6.111357070851169,0.9964888085898996,0.9969132440289518,0.00042443543905212877,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,v10,held_out,0.15253995887667587,0.1362845064136815,10.656520811138037,0.9944455878475438,0.9955673678491674,0.0011217800016236623,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,mslp,trained,0.021069648559581367,0.020233002189456072,3.970860585355289,0.9994694076260319,0.9995117255115882,4.231788555630889e-05,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,mslp,held_out,0.02627296910693052,0.02260809297382293,13.94922712462231,0.9991866331168996,0.999397698120416,0.00021106500351641966,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2021,T1000,trained,0.01655286353261874,0.01584196778607089,4.29469949502677,0.9948850420048122,0.9953232071395742,0.00043816513476202523,same_seed_full_has_more_optimizer_steps
