model,channel,tau_hours,rmse_norm
S-DYff 24ch,T850,4,0.030754
S-DYff 24ch,T700,4,0.026788
S-DYff 24ch,U1000,4,0.131260
S-DYff 24ch,U925,4,0.128424
S-DYff 24ch,U850,4,0.126038
S-DYff 24ch,U700,4,0.120775
S-DYff 24ch,V1000,4,0.243018
S-DYff 24ch,V925,4,0.305697
S-DYff 24ch,V850,4,0.391870
S-DYff 24ch,V700,4,0.485381
S-DYff 24ch,Q1000,4,0.037325
S-DYff 24ch,Q925,4,0.065623
S-DYff 24ch,Q850,4,0.099319
S-DYff 24ch,Q700,4,0.127245
S-DYff 24ch,Z1000,4,0.033409
S-DYff 24ch,Z925,4,0.026044
S-DYff 24ch,Z850,4,0.019710
S-DYff 24ch,Z700,4,0.012369
S-DYff 24ch,t2m,4,0.031040
S-DYff 24ch,u10,4,0.132948
S-DYff 24ch,v10,4,0.243670
S-DYff 24ch,mslp,4,0.033817
S-DYff 24ch,T1000,5,0.014920
S-DYff 24ch,T925,5,0.016657
S-DYff 24ch,T850,5,0.019296
S-DYff 24ch,T700,5,0.016976
S-DYff 24ch,U1000,5,0.084098
S-DYff 24ch,U925,5,0.081357
S-DYff 24ch,U850,5,0.079350
S-DYff 24ch,U700,5,0.076313
S-DYff 24ch,V1000,5,0.154974
S-DYff 24ch,V925,5,0.196786
S-DYff 24ch,V850,5,0.249934
S-DYff 24ch,V700,5,0.307520
S-DYff 24ch,Q1000,5,0.023071
S-DYff 24ch,Q925,5,0.041077
S-DYff 24ch,Q850,5,0.061789
S-DYff 24ch,Q700,5,0.079486
S-DYff 24ch,Z1000,5,0.025491
S-DYff 24ch,Z925,5,0.020354
S-DYff 24ch,Z850,5,0.015797
S-DYff 24ch,Z700,5,0.010123
S-DYff 24ch,t2m,5,0.017044
S-DYff 24ch,u10,5,0.085182
S-DYff 24ch,v10,5,0.155392
S-DYff 24ch,mslp,5,0.025588
ATM-VFI,T1000,1,0.013089
ATM-VFI,T925,1,0.014799
ATM-VFI,T850,1,0.017086
ATM-VFI,T700,1,0.015689
ATM-VFI,U1000,1,0.055908
ATM-VFI,U925,1,0.054456
ATM-VFI,U850,1,0.058335
ATM-VFI,U700,1,0.056308
ATM-VFI,V1000,1,0.090150
ATM-VFI,V925,1,0.110939
ATM-VFI,V850,1,0.145289
ATM-VFI,V700,1,0.162051
ATM-VFI,Q1000,1,0.021651
ATM-VFI,Q925,1,0.039249
ATM-VFI,Q850,1,0.058795
ATM-VFI,Q700,1,0.077583
ATM-VFI,Z1000,1,0.019312
ATM-VFI,Z925,1,0.015480
ATM-VFI,Z850,1,0.012230
ATM-VFI,Z700,1,0.008072
ATM-VFI,t2m,1,0.015897
ATM-VFI,u10,1,0.056272
ATM-VFI,v10,1,0.090803
ATM-VFI,mslp,1,0.019556
ATM-VFI,T1000,2,0.021000
ATM-VFI,T925,2,0.023524
ATM-VFI,T850,2,0.026977
ATM-VFI,T700,2,0.024456
ATM-VFI,U1000,2,0.088851
ATM-VFI,U925,2,0.086909
ATM-VFI,U850,2,0.091880
ATM-VFI,U700,2,0.087711
ATM-VFI,V1000,2,0.152742
ATM-VFI,V925,2,0.187677
ATM-VFI,V850,2,0.244467
ATM-VFI,V700,2,0.275835
ATM-VFI,Q1000,2,0.034250
ATM-VFI,Q925,2,0.061577
ATM-VFI,Q850,2,0.093512
ATM-VFI,Q700,2,0.123107
ATM-VFI,Z1000,2,0.026268
ATM-VFI,Z925,2,0.020572
ATM-VFI,Z850,2,0.016008
ATM-VFI,Z700,2,0.010523
ATM-VFI,t2m,2,0.030611
ATM-VFI,u10,2,0.089576
ATM-VFI,v10,2,0.152908
ATM-VFI,mslp,2,0.026748
ATM-VFI,T1000,3,0.022997
ATM-VFI,T925,3,0.025899
ATM-VFI,T850,3,0.029781
ATM-VFI,T700,3,0.027179
ATM-VFI,U1000,3,0.094227
ATM-VFI,U925,3,0.091837
ATM-VFI,U850,3,0.098814
ATM-VFI,U700,3,0.094654
ATM-VFI,V1000,3,0.157066
ATM-VFI,V925,3,0.189813
ATM-VFI,V850,3,0.251167
ATM-VFI,V700,3,0.285384
ATM-VFI,Q1000,3,0.038817
ATM-VFI,Q925,3,0.068678
ATM-VFI,Q850,3,0.104706
ATM-VFI,Q700,3,0.139123
ATM-VFI,Z1000,3,0.024901
ATM-VFI,Z925,3,0.019260
ATM-VFI,Z850,3,0.015016
ATM-VFI,Z700,3,0.010097
ATM-VFI,t2m,3,0.026424
ATM-VFI,u10,3,0.094781
ATM-VFI,v10,3,0.157249
ATM-VFI,mslp,3,0.025717
ATM-VFI,T1000,4,0.021949
ATM-VFI,T925,4,0.024212
ATM-VFI,T850,4,0.027742
ATM-VFI,T700,4,0.024913
ATM-VFI,U1000,4,0.096378
ATM-VFI,U925,4,0.094313
ATM-VFI,U850,4,0.097434
ATM-VFI,U700,4,0.091642
ATM-VFI,V1000,4,0.167746
ATM-VFI,V925,4,0.209412
ATM-VFI,V850,4,0.268082
ATM-VFI,V700,4,0.303562
ATM-VFI,Q1000,4,0.035592
ATM-VFI,Q925,4,0.062876
ATM-VFI,Q850,4,0.093973
ATM-VFI,Q700,4,0.123946
ATM-VFI,Z1000,4,0.029805
ATM-VFI,Z925,4,0.023471
ATM-VFI,Z850,4,0.018272
ATM-VFI,Z700,4,0.011913
ATM-VFI,t2m,4,0.030282
ATM-VFI,u10,4,0.097005
ATM-VFI,v10,4,0.167193
ATM-VFI,mslp,4,0.030194
ATM-VFI,T1000,5,0.013379
ATM-VFI,T925,5,0.015042
ATM-VFI,T850,5,0.017356
ATM-VFI,T700,5,0.015839
ATM-VFI,U1000,5,0.058196
ATM-VFI,U925,5,0.056263
ATM-VFI,U850,5,0.059990
ATM-VFI,U700,5,0.057596
ATM-VFI,V1000,5,0.094330
ATM-VFI,V925,5,0.115581
ATM-VFI,V850,5,0.151836
ATM-VFI,V700,5,0.169456
ATM-VFI,Q1000,5,0.021937
ATM-VFI,Q925,5,0.039375
ATM-VFI,Q850,5,0.059021
ATM-VFI,Q700,5,0.078034
ATM-VFI,Z1000,5,0.020618
ATM-VFI,Z925,5,0.016560
ATM-VFI,Z850,5,0.013065
ATM-VFI,Z700,5,0.008589
ATM-VFI,t2m,5,0.016658
ATM-VFI,u10,5,0.058508
ATM-VFI,v10,5,0.094822
ATM-VFI,mslp,5,0.020844
WeatherDCAE,T1000,1,0.010875
WeatherDCAE,T925,1,0.012102
WeatherDCAE,T850,1,0.013047
WeatherDCAE,T700,1,0.012195
WeatherDCAE,U1000,1,0.043673
WeatherDCAE,U925,1,0.041086
WeatherDCAE,U850,1,0.041125
WeatherDCAE,U700,1,0.038933
WeatherDCAE,V1000,1,0.071459
WeatherDCAE,V925,1,0.083937
WeatherDCAE,V850,1,0.105994
WeatherDCAE,V700,1,0.124726
WeatherDCAE,Q1000,1,0.019018
