model,channel,tau_hours,acc
ATM-VFI,Q1000,2,0.986967
ATM-VFI,Q925,2,0.969985
ATM-VFI,Q850,2,0.971768
ATM-VFI,Q700,2,0.976302
ATM-VFI,Z1000,2,0.999137
ATM-VFI,Z925,2,0.999182
ATM-VFI,Z850,2,0.999229
ATM-VFI,Z700,2,0.999376
ATM-VFI,t2m,2,0.978590
ATM-VFI,u10,2,0.993643
ATM-VFI,v10,2,0.994493
ATM-VFI,mslp,2,0.999167
ATM-VFI,T1000,3,0.991189
ATM-VFI,T925,3,0.991932
ATM-VFI,T850,3,0.991388
ATM-VFI,T700,3,0.992716
ATM-VFI,U1000,3,0.993045
ATM-VFI,U925,3,0.993241
ATM-VFI,U850,3,0.991709
ATM-VFI,U700,3,0.992211
ATM-VFI,V1000,3,0.994464
ATM-VFI,V925,3,0.994635
ATM-VFI,V850,3,0.993630
ATM-VFI,V700,3,0.994692
ATM-VFI,Q1000,3,0.983445
ATM-VFI,Q925,3,0.962851
ATM-VFI,Q850,3,0.964577
ATM-VFI,Q700,3,0.969581
ATM-VFI,Z1000,3,0.999227
ATM-VFI,Z925,3,0.999287
ATM-VFI,Z850,3,0.999324
ATM-VFI,Z700,3,0.999425
ATM-VFI,t2m,3,0.985385
ATM-VFI,u10,3,0.992898
ATM-VFI,v10,3,0.994157
ATM-VFI,mslp,3,0.999232
ATM-VFI,T1000,4,0.992565
ATM-VFI,T925,4,0.993234
ATM-VFI,T850,4,0.992655
ATM-VFI,T700,4,0.993940
ATM-VFI,U1000,4,0.992722
ATM-VFI,U925,4,0.992899
ATM-VFI,U850,4,0.992027
ATM-VFI,U700,4,0.992806
ATM-VFI,V1000,4,0.993654
ATM-VFI,V925,4,0.993485
ATM-VFI,V850,4,0.992848
ATM-VFI,V700,4,0.994144
ATM-VFI,Q1000,4,0.986236
ATM-VFI,Q925,4,0.968969
ATM-VFI,Q850,4,0.971400
ATM-VFI,Q700,4,0.976129
ATM-VFI,Z1000,4,0.998918
ATM-VFI,Z925,4,0.998964
ATM-VFI,Z850,4,0.999020
ATM-VFI,Z700,4,0.999218
ATM-VFI,t2m,4,0.983384
ATM-VFI,u10,4,0.992563
ATM-VFI,v10,4,0.993368
ATM-VFI,mslp,4,0.998963
ATM-VFI,T1000,5,0.997372
ATM-VFI,T925,5,0.997454
ATM-VFI,T850,5,0.997154
ATM-VFI,T700,5,0.997558
ATM-VFI,U1000,5,0.997366
ATM-VFI,U925,5,0.997485
ATM-VFI,U850,5,0.996985
ATM-VFI,U700,5,0.997158
ATM-VFI,V1000,5,0.998007
ATM-VFI,V925,5,0.998020
ATM-VFI,V850,5,0.997699
ATM-VFI,V700,5,0.998161
ATM-VFI,Q1000,5,0.994871
ATM-VFI,Q925,5,0.988140
ATM-VFI,Q850,5,0.988924
ATM-VFI,Q700,5,0.990648
